ბათუმში	ბათუმ ში
განლაგებით	განლაგ ებით
ინჟინერის	ინჟინერ ის
დილის	დილ ის
შირაზის	შირაზ ის
მაკედონელს	მაკედონელ ს
სტატუსს	სტატუს ს
ბანანები	ბანან ები
მომდინარე	მომდინარე
მემკვიდრეობას	მემკვიდრეობ ას
პუნქტებს	პუნქტ ებს
ბაქტერია	ბაქტერი ა
ქცევა	ქცევ ა
პილასტრებით	პილასტრ ებით
მიემხრნენ	მიემხრ ნენ
გაეძლიერებინა	გაე ძლიერ ებინა
გიტარისტმა	გიტარისტ მა
მოუთხრო	მოუთხრ ო
ყოველთვიურად	ყოველთვ იურად
იაკუტიის	იაკუტი ის
სიცოცხლისუნარიანი	სიცოცხლ ისუნარიანი
დოლი	დოლ ი
შემოვლებული	შემოვლ ებული
ჯეიმზის	ჯეიმზ ის
მოხუცმა	მოხუც მა
ლინი	ლინ ი
შრეთა	შრე თა
მოაწყეს	მოაწყ ეს
გრძნობენ	გრძნობ ენ
ტანისამოსში	ტანისამოს ში
აქლემის	აქლემ ის
მარკესის	მარკეს ის
წარმატებაში	წარმატებ აში
გასინჯვის	გა სინჯ ვის
ცხიმის	ცხიმ ის
კომპონენტები	კომპონენტ ები
გალიაში	გალი აში
მოიხსენიება	მო იხსენი ება
ნაგებობების	ნაგებობ ების
ანთროპოგენური	ანთროპოგენ ური
ხახის	ხახ ის
ექსპერიმენტის	ექსპერიმენტ ის
გარკვეულწილად	გარკვეულ წილად
თორნიკემ	თორნიკ ემ
კოსა	კოს ა
მოსამართლეთა	მოსამართლე თა
სადღესასწაულო	სა დღესასწაულ ო
გვერდები	გვერდ ები
პრესტიჟის	პრესტიჟ ის
ყბას	ყბ ას
შემოტევების	შემოტევ ების
კანალიზაცია	კანალიზაცი ა
დეივისმა	დეივის მა
ფარით	ფარ ით
არისტოკრატები	არისტოკრატ ები
ინაუგურაციის	ინაუგურაცი ის
ვენერის	ვენერ ის
ფრანც	ფრა ნც
წოდებებს	წოდებ ებს
ასაკს	ასაკ ს
ნაყოფიერია	ნაყოფიერ ია
არსებობაც	არსებობ აც
სპექტრში	სპექტრ ში
კეისარის	კეისარ ის
განსხვავების	განსხვავ ების
ეკვეთნენ	ე კვეთნენ
პარალელი	პარალ ელი
კირიონი	კირიონ ი
გავლენას	გავლენ ას
მებრძოლს	მებრძოლ ს
ნარჩენები	ნარჩენ ები
დაჯილდოების	დაჯილდო ების
გავიგე	გავი გე
მაინცდამაინც	მაინც დამაინც
გაიმეორა	გაიმეორ ა
ინიციატორი	ინიციატორ ი
ნაგებობებიდან	ნაგებობ ებიდან
სიქსერსის	სიქსერს ის
ესაზღვრება	ე საზღვრ ება
ნაბიჯი	ნაბიჯ ი
პარტიზანულ	პარტიზან ულ
ფაუნის	ფაუნ ის
კლასიკური	კლასიკურ ი
აღდგენისა	აღდგენ ისა
მიყვანილი	მიყვან ილი
მფრინავის	მფრინავ ის
კომენტარებს	კომენტარ ებს
გაცვლა	გაცვლ ა
ნორვეგიის	ნორვეგი ის
გიგანტის	გიგანტ ის
ეკატერინე	ეკატერინ ე
აინტერესებდა	აინტერესებდა
ვენაში	ვენ აში
ქვედაზე	ქვე და ზე
შუახმელეთში	შუა ხმელეთ ში
რედაქციას	რედაქცი ას
საცალფეხო	სა ცალ ფეხო
უკეთესად	უკეთეს ად
ქვეშევრდომობაში	ქვე შევრდომ ობაში
ზეწოლამ	ზეწოლ ამ
