გამოსხივება	გამოსხივ ება
ოსები	ოს ები
მაგისტრი	მაგისტრ ი
თოვლს	თოვლ ს
საბურავი	საბურავ ი
ირჩევს	ირჩევ ს
კუკის	კუკი ს
მცდელობებს	მცდელობ ებს
ჯამბაზები	ჯამ ბაზ ები
საჩოგბურთო	სა ჩოგბურთ ო
გამოცდებში	გამოცდ ებში
გასათვალისწინებელია	გასა თვალისწინ ებელია
გინახავს	გი ნახავს
კარსტულ	კარსტ ულ
არტეფაქტები	ა რტეფაქტ ები
კორუფციულ	კორუფცი ულ
ჭრიან	ჭრიან
პენსიაში	პენსი აში
ორგანიზმში	ორგანიზმ ში
ლოუ	ლოუ
პარმა	პარ მა
ქოხში	ქოხ ში
ციმბირი	ციმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	დაუშვებელი ა
ეწეოდნენ	ეწეო დნენ
ანათებდა	ანათ ებდა
დაუღალავი	დაუღალავ ი
მთელ	მთელ
მყოფი	მყოფ ი
ლევირატი	ლევირატ ი
აბულ	ა ბულ
დამარცხებით	დამარცხ ებით
გლეხმა	გლეხ მა
თაღიანი	თაღიანი
ოცნებამ	ოცნებ ამ
გადაიქცევა	გადაი ქცევა
იაპონელი	იაპონელ ი
პოზიცია	პოზიცი ა
უმატებს	უმატ ებს
წარმატებაც	წარმატებ აც
ცისკრის	ც ის კრის
გაანადგურებს	გაანადგურ ებს
დამუშავებისას	დამუშავ ები სა ს
სასცენო	სა სცენ ო
სილვესტერ	სილვესტერ
გომინდანის	გომინდ ანის
ვესტფალიის	ვესტ ფალი ის
მუჰამადის	მუჰამად ის
პერსონაჟთა	პერსონაჟ თა
მტრის	მტრ ის
შთამომავლების	შთამომავლ ების
პოზიციური	პოზიცი ური
სექსუალობის	სექსუალ ობის
გამოჩნდებოდა	გამოჩნდ ებოდა
დაეკავებინათ	დაეკავ ებინათ
ფეტვი	ფეტვი
სპაიკ	ს პაიკ
ნიშებში	ნიშ ებში
გაბნეულ	გაბნეულ
მუნიოსი	მუნი ოსი
ორგანიზმის	ორგანიზმ ის
მშობლიურ	მშობლ იურ
გავშალოთ	გავშალო თ
მომაკვდავმა	მომაკვდავ მა
საქმიანობასთან	საქმიანობ ასთან
საწყისი	საწყის ი
ათვისების	ათვის ების
თავდაცვითი	თავდაცვ ითი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	სიმართლე ში
ლოტოსი	ლოტოსი
მანიაკალური	მ ანი ა კალური
სათავსს	სათავს ს
იმოგზაურეს	ი მოგზაურ ეს
აღსასრული	აღსასრულ ი
კოლუმბის	კოლუმბ ის
მძვინვარე	მძვინვარ ე
წინდებს	წინდებ ს
გადმოიღეს	გადმო იღეს
დაპყრობისა	დაპყრობ ისა
ძაბრები	ძაბრ ები
მიიღო	მი იღო
ჩურჩხელა	ჩურჩხელ ა
მონასტრის	მონასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	არეულობ ის
მოგზაურებს	მოგზაურ ებს
პოლის	პოლის
ჩანჩქერია	ჩანჩქერ ია
მაძიებელი	მა ძიებელი
ასეთები	ასეთ ები
სამფლობელოები	სა მფლობელო ები
შვეიცარიის	შვეიცარი ის
მოასწრეს	მოასწრ ეს
მიტოვების	მიტოვ ების
გაუკეთოს	გაუკეთ ოს
არეს	არე ს
ჩაისა	ჩა ისა
დღესასწაულებს	დღე სასწაულ ებს
იდეოლოგია	იდეოლოგი ა
წმიდანს	წმიდან ს
საყლაპავი	საყლაპავი
ფრანცისკო	ფრანც ისკო
წყევლის	წყევლ ის
თრაინ	თ რაინ
