ბათუმში	ბათუმ ში
განლაგებით	განლაგ ებით
ინჟინერის	ინჟინერ ის
დილის	დილ ის
შირაზის	შირაზ ის
მაკედონელს	მაკედონელ ს
სტატუსს	სტატუს ს
ბანანები	ბანან ები
მომდინარე	მო მდინარე
მემკვიდრეობას	მემკვიდრე ობა ს
პუნქტებს	პუნქტ ებს
ბაქტერია	ბაქტერი ა
ქცევა	ქცევ ა
პილასტრებით	პილასტრ ებით
მიემხრნენ	მიე მხრ ნ ენ
გაეძლიერებინა	გა ე ძლიერ ებინა
გიტარისტმა	გიტარისტ მა
მოუთხრო	მო უ თხრ ო
ყოველთვიურად	ყოველთვ იურ ად
იაკუტიის	იაკუტი ის
სიცოცხლისუნარიანი	სიცოცხლ ისუნარიან ი
დოლი	დოლ ი
შემოვლებული	შემოვლ ებული
ჯეიმზის	ჯეიმზ ის
მოხუცმა	მოხუც მა
ლინი	ლინ ი
შრეთა	შრე თა
მოაწყეს	მოაწყ ეს
გრძნობენ	გრძნ ობ ენ
ტანისამოსში	ტანისამოს შ ი
აქლემის	აქლემ ის
მარკესის	მარკეს ის
წარმატებაში	წარმატებ აში
გასინჯვის	გა სინჯ ვი ს
ცხიმის	ცხიმ ის
კომპონენტები	კომპონენტ ები
გალიაში	გალი აში
მოიხსენიება	მოიხსენი ება
ნაგებობების	ნაგებ ობ ებ ის
ანთროპოგენური	ანთროპ ოგენ ური
ხახის	ხახ ი ს
ექსპერიმენტის	ექსპ ერიმენტ ის
გარკვეულწილად	გარკვეულ წილად
თორნიკემ	თორნიკ ემ
კოსა	კოს ა
მოსამართლეთა	მო სა მართლ ეთ ა
სადღესასწაულო	სა დღესასწაულ ო
გვერდები	გვერდ ები
პრესტიჟის	პრე სტიჟ ის
ყბას	ყბ ას
შემოტევების	შემოტევ ების
კანალიზაცია	კანალიზაცი ა
დეივისმა	დეივის მა
ფარით	ფარ ით
არისტოკრატები	არისტო კრატ ებ ი
ინაუგურაციის	ინაუგურ აცი ის
ვენერის	ვენერ ის
ფრანც	ფრან ც
წოდებებს	წოდებ ებს
ასაკს	ასაკ ს
ნაყოფიერია	ნა ყოფიერ ი ა
არსებობაც	არსებობ აც
სპექტრში	სპექტ რ შ ი
კეისარის	კეისარ ის
განსხვავების	გან სხვავებ ი ს
ეკვეთნენ	ე კვეთ ნ ენ
პარალელი	პარალელ ი
კირიონი	კირიონ ი
გავლენას	გავლენ ას
მებრძოლს	მებრძოლ ს
ნარჩენები	ნარჩენ ები
დაჯილდოების	დაჯილდო ების
გავიგე	გა ვიგ ე
მაინცდამაინც	მაინც დამაინც
გაიმეორა	გა ი მეორ ა
ინიციატორი	ინიცი ატორ ი
ნაგებობებიდან	ნაგებ ობ ებ იდან
სიქსერსის	სი ქსერს ის
ესაზღვრება	ე საზღვრ ება
ნაბიჯი	ნაბიჯ ი
პარტიზანულ	პარ ტიზან ულ
ფაუნის	ფაუნ ის
კლასიკური	კლასიკ ური
აღდგენისა	აღდგენ ი სა
მიყვანილი	მი ყვანილ ი
მფრინავის	მ ფრინავ ის
კომენტარებს	კომენტარ ებს
გაცვლა	გაცვლ ა
ნორვეგიის	ნორვეგ ი ის
გიგანტის	გიგანტ ის
ეკატერინე	ეკატერინ ე
აინტერესებდა	აინტერესებ და
ვენაში	ვენ აში
ქვედაზე	ქვედა ზე
შუახმელეთში	შუა ხმელეთ ში
რედაქციას	რედაქცი ას
