იტალიასთან	იტალია სთან
ბოლოთი	ბოლო თი
სამთავროსა	სამთავრო სა
მითანის	მი თან ის
ალმანახი	ალმანახ ი
მოწმეები	მოწმე ები
ევდოკია	ევ დოკ ი ა
ინტერესი	ინტერეს ი
საიდუმლოება	საიდუმლო ება
შენს	შენს
გადაჭრას	გადაჭრ ას
დასწამა	და სწამ ა
პაკეტში	პაკეტ ში
რობერ	რო ბერ
შემოდიოდა	შემო დიოდა
მთავარსარდლობის	მთავარ სარდლობ ის
ასტრონომია	ასტრონომი ა
ხარჯი	ხარჯ ი
სიგარეტი	სიგარეტ ი
მოულოდნელობა	მოულოდნე ლობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	დასა რბევ ად
ოკეანეზე	ოკეანე ზე
პიტი	პიტი
სინგაპურის	სინ გა პურ ის
თაფლობის	თაფლ ობის
ნიჟნი	ნიჟნი
სარკეში	სარკე ში
დისკრეტული	დისკრეტ ული
კლონი	კლონ ი
მუსლიმური	მუსლიმ ური
იდენტიფიცირება	იდენტ იფიცირება
შემოსევების	შემოსევ ების
ხელაშვილი	ხელ ა შვილი
შანიძე	შანიძე
ეტლს	ეტლ ს
გამოყოფას	გამოყოფ ა ს
პოემების	პოემ ების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართველ ოლოგიის
წნეხის	წნე ხის
სურვილისამებრ	სურვილ ი სამებრ
კანისა	კან ისა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სცა
კედელში	კედელ ში
დარგი	დარგ ი
წარმოგვიდგება	წარმოგვი დგება
მოსინჯა	მოსინჯ ა
მოხუცის	მოხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანადროულ ია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტესტანტ იზმის
ჟანგბადის	ჟანგბად ის
სახეთა	სახე თა
ჩახაზული	ჩახაზ ული
დაპირისპირების	დაპირისპირ ების
სისხლსა	სისხლ სა
აცტეკთა	აცტეკ თა
ქარჩოხის	ქარ ჩოხ ის
ყოველგვარი	ყოველგვარ ი
მამამ	მა მა მ
ეკავათ	ეკავა თ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველაფრი თ
ნომინანტი	ნომინანტ ი
თანდასწრებით	თან დასწრებ ით
აინშტაინის	აინშტაინ ი ს
საღამოები	საღამო ები
თეორემის	თეორემ ის
გადაურჩნენ	გადაურჩ ნენ
კელტთა	კელტ თა
ითხოვა	ი თხოვა
სპორტისა	სპორტ ისა
ერიქსონის	ერიქსონი ს
ჩერნიგოვის	ჩერნიგოვ ის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდაჭერ ით
გაყვება	გა ყვება
აღწერითი	აღწერ ითი
ავითარებდნენ	ავითარ ებდნენ
გულაგის	გულაგ ის
ამოვსებულია	ამოვს ებულია
ფერდობების	ფერდობ ების
გასაკვირი	გასაკვირ ი
დისკში	დისკ ში
პარალელურად	პარალელ ურად
კარლაილს	კარლ აილ ს
ჰენი	ჰენ ი
შეფერილობით	შეფერილ ობით
დაბოლოებული	დაბოლო ებული
რონალდუმ	რონალდ უმ
რაზდანის	რაზდან ის
არქტიკულ	არქტიკ ულ
ები	ები
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრობ და
ჰპოვებს	ჰპოვ ებს
ყველამ	ყველა მ
წინააღმდეგობრივი	წინააღმდეგ ობრივი
ქარგა	ქარგა
ხისტი	ხისტი
მოქალაქეები	მოქალაქე ები
დაემთხვა	და ემთხვ ა
წარმოშობილი	წარმოშობ ილი
უბნის	უბნ ის
ლეგიონებმა	ლეგიონ ებმა
საორგანიზაციო	სა ორგანიზაცი ო
ტაქსონომიურ	ტაქსონომ ი ურ
დაიღუპა	დაიღუპ ა
არიანე	არიანე
მორისი	მორის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომნელებელ ი
კულმინაციას	კულმინაცია ს
მოკლეს	მო კლეს
ჩამოიყვანა	ჩა მოიყვან ა
რიგების	რიგ ების
მახსოვს	მა ხსოვ ს
სახელწოდებად	სახელწოდ ებად
ყურეს	ყურე ს
გაერთიანებაში	გაერთიანებ აში
დაცვითი	დაცვ ით ი
კანტატები	კან ტატ ები
ჯანელიძის	ჯანელ იძის
ბუნებას	ბუნება ს
ხეები	ხე ები
ნეოლითის	ნეოლით ის
ხელოსნური	ხელოსნ ური
საყვარელიძე	საყვარელ იძე
ჩაუთვალა	ჩა უთვალა
კლდოვანი	კლდოვან ი
ნაგაზი	ნაგაზ ი
შეყვარებულის	შეყვარებულ ის
წყალმარჩხ	წყალმარჩხ
გაქრება	გაქრ ება
ქვემეხები	ქვემეხ ები
გარეთა	გარეთა
ხუროთმოძღვრება	ხუროთმოძღვრ ება
აცილებული	აცილ ებული
აისახება	აისახ ება
ცდება	ცდება
ეფექტურობა	ეფექტურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწათ მფლობელ ობა
მომხიბლავი	მომხიბლავი
დამფუძნებელია	დამფუძნ ებელია
ესპანურ	ესპანურ
პრემიერ	პრემიერ
შეზღუდვებს	შეზღუდვ ებს
შოუზე	შოუ ზე
ჭანტურია	ჭანტურია
კეჩუას	კეჩუა ს
სოლისტი	სოლისტი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ა მაზრ ზე ნი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰოპკინზ მა
ჩემპიონატს	ჩემპიონატ ს
სიხშირეს	სიხშირე ს
ფიგაროს	ფიგაროს
მეოთხეა	მეოთხე ა
გარანტიას	გარანტი ას
ნახევარუდაბნოს	ნახევარ უდაბნო ს
ლუქსემბურგის	ლუქსემბურგ ის
პერსპექტიულია	პერსპექტიულ ია
პოზიტიური	პოზიტიურ ი
რიტორიკა	რიტორიკ ა
სამწერლო	სამწერლო
აქტიურები	აქტიურ ები
წოდებაც	წოდება ც
თავდაცვისა	თავდაცვ ისა
ატლანტისი	ატლანტ ის ი
პლინიუს	პლინიუს
ჯოზეფი	ჯოზეფ ი
ასვლას	ასვლ ას
დღე	დღე
თამაშებისა	თამაშ ებისა
პრეზიდენტ	პრეზიდენტ
ჰიურემ	ჰ იურე მ
წარმატებისა	წარმატ ებისა
შემოქმედმა	შემოქმედ მა
დაპყრობები	დაპყრობ ები
ყაზახეთში	ყაზახ ეთში
ბენდი	ბენ დი
ვარიანტი	ვარიანტ ი
კლდეკარის	კლდეკარი ს
ეკოსისტემის	ეკო სისტემ ის
ფორტეპიანოსა	ფორტეპიანო სა
მთავარანგელოზი	მთავარ ანგელოზ ი
მოქალაქედ	მოქალაქე დ
გაშლის	გა შლის
ნათელაშვილის	ნათელ აშვილი ს
მიახლოებით	მიახლო ებით
მუხისფარს	მუხის ფარ ს
კომისარიატის	კომისარი ატის
პიტერმა	პიტერ მა
მონიტორები	მონიტორ ები
ინვესტორი	ინვესტორ ი
შეშლა	შე შლა
გრადაშჩევიჩის	გრადაშჩევიჩ ის
ეცნობა	ე ცნობა
ხელფასი	ხელფას ი
საიმპერატორო	სა იმპერატორ ო
კატაკლიზმები	კატა კლიზმ ები
ქვედაზე	ქვედა ზე
მხრივაც	მხრივ აც
დუელში	დუელ ში
გარემონტდა	გარემო ნტ და
დაარღვიეს	დაარღვი ეს
აღწერეს	აღწერ ეს
კომიქსებში	კომიქს ებში
ბაიკონურის	ბაიკონ ური ს
კულტივირება	კულტივ ირება
ჩათვლა	ჩათვლ ა
ფისი	ფის ი
გადაღებულმა	გადაღებ ულმა
ქსოვილისაგან	ქსოვილ ისაგან
ჩხიკვაძე	ჩხიკვ აძე
ფრანკფურტში	ფრანკფურტ ში
მფარველობას	მფარველ ობას
ჩამოკვეთილი	ჩა მოკვეთილი
გადარჩევა	გადა რჩევა
ქვესკნელის	ქვესკნელ ის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტ ნელი
ფრანცისკანელთა	ფრანცის კა ნელთა
რეიტინგული	რეიტინგ ული
ბელა	ბელა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდა ათ წლიანი
ლიდერმა	ლიდერ მა
სიტყვიერ	სიტყვიერ
შემოიფარგლება	შემოი ფარგლ ება
ბულგარეთი	ბულგარ ეთი
მოჰკიდა	მო ჰკიდ ა
სპარტელთა	სპარტ ელთა
გააფრთხილა	გაა ფრთხილა
ობობა	ობ ობა
პანკრეასის	პანკ რე ას ის
მკერდის	მკერდ ის
პლანქტონური	პლანქტონ ური
საისტორიო	სა ისტორი ო
დაველაპარაკები	დაველაპარაკ ები
მომხდარმა	მომხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბავ ში
დედინაცვალი	დედ ი ნაცვალი
ამოშენებულია	ა მოშენებ ულია
სიღრმული	სიღრმ ული
ტემპერატურით	ტემპერატურ ით
მოუღეს	მოუ ღეს
შემოსვლის	შემოსვლ ის
რონდელი	რონდელ ი
კავკასიელ	კავკასიელ
ბაკის	ბაკი ს
ევოლუციაში	ევოლუცი აში
მოხუცი	მოხუც ი
ლუარსაბ	ლუარსაბ
შარაძე	შარაძე
ფორმაა	ფორმა ა
სათანადოდ	სათანადო დ
ნიდერლანდში	ნიდერლანდ ში
ვეზუვის	ვეზ უვის
მწვერვალი	მწვერვალ ი
ეშვება	ეშვ ება
პოლონური	პოლონურ ი
გააფთრებული	გააფთ რებული
გაჩერებას	გაჩერ ებას
