იტალიასთან	იტალი ა სთან
ბოლოთი	ბოლ ოთი
სამთავროსა	სამთავრო სა
მითანის	მით ანის
ალმანახი	ალმანახ ი
მოწმეები	მოწმე ები
ევდოკია	ევდოკ ია
ინტერესი	ინტერეს ი
საიდუმლოება	საიდუმლოებ ა
შენს	შენ ს
გადაჭრას	გადაჭრ ას
დასწამა	დასწა მა
პაკეტში	პაკეტ ში
რობერ	რობ ერ
შემოდიოდა	შემოდი ოდა
მთავარსარდლობის	მთავარსარდ ლობის
ასტრონომია	ასტრონომ ი ა
ხარჯი	ხარჯ ი
სიგარეტი	სიგარეტ ი
მოულოდნელობა	მოულოდნე ლობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	დასარბევ ად
ოკეანეზე	ოკეანე ზე
პიტი	პიტ ი
სინგაპურის	სინგაპ ურის
თაფლობის	თაფლ ობის
ნიჟნი	ნიჟ ნი
სარკეში	სარკ ეში
დისკრეტული	დისკრეტ ული
კლონი	კლ ონი
მუსლიმური	მუსლიმ ური
იდენტიფიცირება	იდენტიფიცირებ ა
შემოსევების	შემოსევ ების
ხელაშვილი	ხელ ა შვილი
შანიძე	შანიძ ე
ეტლს	ეტლ ს
გამოყოფას	გამოყოფ ას
პოემების	პოემ ების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართველ ოლოგიის
წნეხის	წნეხ ის
სურვილისამებრ	სურვილ ის ამებრ
კანისა	კან ისა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სც ა
კედელში	კედელ ში
დარგი	დარგ ი
წარმოგვიდგება	წარმოგვიდგ ება
მოსინჯა	მოსინჯ ა
მოხუცის	მოხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანადრო ულია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტესტანტ იზმის
ჟანგბადის	ჟანგბად ის
სახეთა	სახე თა
ჩახაზული	ჩახაზ ული
დაპირისპირების	დაპირისპირ ების
სისხლსა	სისხლ ს ა
აცტეკთა	აცტეკ თა
ქარჩოხის	ქარჩოხ ის
ყოველგვარი	ყოველ გვარ ი
მამამ	მამ ამ
ეკავათ	ეკავ ათ
სკაუტების	სკაუტ ების
ყველაფრით	ყველაფრ ით
ნომინანტი	ნომინანტ ი
თანდასწრებით	თანდასწრ ებით
აინშტაინის	აინშტაინ ის
საღამოები	საღამო ები
თეორემის	თეორემ ის
გადაურჩნენ	გადაურჩ ნენ
კელტთა	კელტ თა
ითხოვა	ითხოვ ა
სპორტისა	სპორტ ისა
ერიქსონის	ერიქსონ ის
ჩერნიგოვის	ჩერნიგ ოვის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდაჭერ ით
გაყვება	გაყვ ება
აღწერითი	აღწერ ითი
ავითარებდნენ	ავითარებ დნენ
გულაგის	გულაგ ის
ამოვსებულია	ამოვს ებულია
ფერდობების	ფერდობ ების
გასაკვირი	გასაკვირ ი
დისკში	დისკ ში
პარალელურად	პარალელ ურად
კარლაილს	კარლაილ ს
ჰენი	ჰენ ი
შეფერილობით	შეფერილ ობით
დაბოლოებული	დაბოლო ებული
რონალდუმ	რონალდ უმ
რაზდანის	რაზდან ის
არქტიკულ	არქტიკ ულ
ები	ებ ი
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრობ და
ჰპოვებს	ჰპოვ ებს
ყველამ	ყველ ამ
წინააღმდეგობრივი	წინააღმდეგობ რივი
ქარგა	ქარ გ ა
ხისტი	ხ ისტი
მოქალაქეები	მოქალაქ ეები
დაემთხვა	დაემთხვ ა
წარმოშობილი	წარმოშობ ილი
უბნის	უბნ ის
ლეგიონებმა	ლეგიონ ებმა
საორგანიზაციო	საორგანიზაცი ო
ტაქსონომიურ	ტაქსონომი ურ
დაიღუპა	დაიღუპ ა
არიანე	არიან ე
მორისი	მორ ის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომნელებ ელი
კულმინაციას	კულმინ აციას
მოკლეს	მოკლ ეს
ჩამოიყვანა	ჩამოიყვან ა
რიგების	რიგ ების
მახსოვს	მახსოვ ს
სახელწოდებად	სახელწოდებ ად
ყურეს	ყურე ს
გაერთიანებაში	გაერთიან ებაში
დაცვითი	დაცვ ითი
კანტატები	კანტატ ები
ჯანელიძის	ჯანელიძ ის
ბუნებას	ბუნებ ას
ხეები	ხე ები
ნეოლითის	ნეოლით ის
ხელოსნური	ხელოსნ ური
საყვარელიძე	საყვარელ იძე
ჩაუთვალა	ჩაუთვალ ა
კლდოვანი	კლდ ოვანი
ნაგაზი	ნაგაზ ი
შეყვარებულის	შეყვარებ ულ ის
წყალმარჩხ	წყალმარჩ ხ
გაქრება	გაქრ ება
ქვემეხები	ქვემეხ ები
გარეთა	გარე თა
ხუროთმოძღვრება	ხუროთმოძღვ რება
აცილებული	აცილებ ული
აისახება	აისახ ება
ცდება	ც დება
ეფექტურობა	ეფექტურობ ა
გაღარიბებული	გაღარიბ ებული
მიწათმფლობელობა	მიწათმფლობელ ობა
მომხიბლავი	მომხიბლ ავი
დამფუძნებელია	დამფუძნებელ ია
ესპანურ	ესპან ურ
პრემიერ	პრემი ერ
შეზღუდვებს	შეზღუდვ ებს
შოუზე	შოუ ზე
ჭანტურია	ჭანტურ ია
კეჩუას	კეჩუ ას
სოლისტი	სოლისტ ი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამაზრზენ ი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰოპკინზ მა
ჩემპიონატს	ჩემპიონატ ს
სიხშირეს	სიხშირ ეს
ფიგაროს	ფიგარ ოს
მეოთხეა	მეოთხე ა
გარანტიას	გარანტი ას
ნახევარუდაბნოს	ნახევარუდაბნო ს
ლუქსემბურგის	ლუქსემბურგ ის
პერსპექტიულია	პერსპექტი ულია
პოზიტიური	პოზიტიურ ი
რიტორიკა	რიტორიკ ა
სამწერლო	სამწერლ ო
აქტიურები	აქტიურ ები
წოდებაც	წოდებ აც
თავდაცვისა	თავდაცვ ის ა
ატლანტისი	ატლანტის ი
პლინიუს	პლინიუ ს
ჯოზეფი	ჯ ოზეფ ი
ასვლას	ასვლ ას
დღე	დღ ე
თამაშებისა	თამაშებ ის ა
პრეზიდენტ	პრეზიდ ენტ
ჰიურემ	ჰიურ ემ
წარმატებისა	წარმატებ ისა
შემოქმედმა	შემოქმედ მა
დაპყრობები	დაპყრობ ები
ყაზახეთში	ყაზახ ეთში
ბენდი	ბენდ ი
ვარიანტი	ვარიანტ ი
კლდეკარის	კლდეკარ ის
ეკოსისტემის	ეკოსისტემ ის
ფორტეპიანოსა	ფორტეპიან ოს ა
მთავარანგელოზი	მთავარანგელოზ ი
მოქალაქედ	მოქალაქე დ
გაშლის	გაშლ ის
ნათელაშვილის	ნათელ ა შვილის
მიახლოებით	მიახლო ებით
მუხისფარს	მუხისფარ ს
კომისარიატის	კომისარიატ ის
პიტერმა	პიტერ მა
მონიტორები	მონიტორ ები
ინვესტორი	ინვესტორ ი
შეშლა	შეშლ ა
გრადაშჩევიჩის	გრადაშჩევიჩ ის
ეცნობა	ეცნობ ა
ხელფასი	ხელფას ი
საიმპერატორო	საიმპერატორ ო
კატაკლიზმები	კატაკლიზმ ები
ქვედაზე	ქვედა ზე
მხრივაც	მხრივ აც
დუელში	დუელ ში
გარემონტდა	გარემონტ და
დაარღვიეს	დაარღვი ეს
აღწერეს	აღწერ ეს
კომიქსებში	კომიქს ებში
ბაიკონურის	ბაიკონ ურის
კულტივირება	კულტივ ი რება
ჩათვლა	ჩათვლ ა
ფისი	ფის ი
გადაღებულმა	გადაღებ ულმა
ქსოვილისაგან	ქსოვილ ისაგან
ჩხიკვაძე	ჩხიკვ აძე
ფრანკფურტში	ფრანკ ფურტ ში
მფარველობას	მფარველ ობას
ჩამოკვეთილი	ჩამოკვეთ ილი
გადარჩევა	გადარჩევ ა
ქვესკნელის	ქვესკნე ლის
რუხია	რუხ ი ა
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტნ ელი
ფრანცისკანელთა	ფრანცისკანელ თა
რეიტინგული	რეიტინგ ული
ბელა	ბელ ა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდა ათ წლიანი
ლიდერმა	ლიდერ მა
სიტყვიერ	სიტყვ იერ
შემოიფარგლება	შემოიფარგ ლებ ა
ბულგარეთი	ბულგარ ეთი
მოჰკიდა	მოჰკ იდა
სპარტელთა	სპარტ ელთა
გააფრთხილა	გააფრთხილ ა
ობობა	ობ ობა
პანკრეასის	პანკრეას ის
მკერდის	მკერდ ის
პლანქტონური	პლანქტონ ური
საისტორიო	საისტორი ო
დაველაპარაკები	დაველაპარაკ ები
მომხდარმა	მომხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბავ ში
დედინაცვალი	დედინაცვ ალი
ამოშენებულია	ამოშენებ ულია
სიღრმული	სიღრმ ული
ტემპერატურით	ტემპერატურ ით
მოუღეს	მოუღ ეს
შემოსვლის	შემოსვლ ის
რონდელი	რონდ ელი
კავკასიელ	კავკასი ელ
ბაკის	ბაკ ის
ევოლუციაში	ევოლუცი აში
მოხუცი	მოხუც ი
ლუარსაბ	ლუარსა ბ
შარაძე	შარ აძე
ფორმაა	ფორმ ა ა
სათანადოდ	სათანად ოდ
ნიდერლანდში	ნიდერლანდ ში
ვეზუვის	ვეზუ ვის
მწვერვალი	მწვერვალ ი
ეშვება	ეშვ ება
