იტალიასთან	იტალი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სამთავრო სა
მითანის	მი თანის
ალმანახი	ალმანახ ი
მოწმეები	მოწმე ები
ევდოკია	ევ დოკ ია
ინტერესი	ინტერეს ი
საიდუმლოება	საიდუმ ლოება
შენს	შენ ს
გადაჭრას	გადაჭრ ას
დასწამა	და სწამ ა
პაკეტში	პაკეტ ში
რობერ	რო ბერ
შემოდიოდა	შემო დიოდა
მთავარსარდლობის	მთავარ სარდლობის
ასტრონომია	ასტრონომ ია
ხარჯი	ხარჯ ი
სიგარეტი	სიგარე ტი
მოულოდნელობა	მოულოდნელ ობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	დასა რბევ ად
ოკეანეზე	ოკეანე ზე
პიტი	პიტ ი
სინგაპურის	ს ინგაპურის
თაფლობის	თაფლ ობის
ნიჟნი	ნი ჟნი
სარკეში	სარკ ეში
დისკრეტული	დისკ რეტული
კლონი	კლო ნი
მუსლიმური	მუსლიმ ური
იდენტიფიცირება	იდენტიფიცირე ბა
შემოსევების	შემოსევ ების
ხელაშვილი	ხელ აშვილი
შანიძე	შანიძე
ეტლს	ეტლ ს
გამოყოფას	გამოყოფ ას
პოემების	პოემ ების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართველ ოლოგიის
წნეხის	წნ ეხის
სურვილისამებრ	სურვილ ისამებრ
კანისა	კან ისა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სცა
კედელში	კედელ ში
დარგი	დარგ ი
წარმოგვიდგება	წარმოგვი დგება
მოსინჯა	მოსინჯ ა
მოხუცის	მოხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანადრო ულია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტესტანტ იზმის
ჟანგბადის	ჟანგბად ის
სახეთა	სახე თა
ჩახაზული	ჩა ხაზული
დაპირისპირების	დაპირისპირ ების
სისხლსა	სისხლ სა
აცტეკთა	აცტეკ თა
ქარჩოხის	ქარ ჩოხის
ყოველგვარი	ყოველ გვარი
მამამ	მამა მ
ეკავათ	ეკავ ათ
სკაუტების	ს კაუტების
ყველაფრით	ყველაფრი თ
ნომინანტი	ნომინ ანტი
თანდასწრებით	თან დასწრე ბით
აინშტაინის	აინშტაი ნის
საღამოები	საღამო ები
თეორემის	თეორემ ის
გადაურჩნენ	გადაურჩ ნენ
კელტთა	კელ ტთა
ითხოვა	ითხოვ ა
სპორტისა	სპორტ ისა
ერიქსონის	ერიქს ონის
ჩერნიგოვის	ჩერ ნიგოვის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდაჭ ერით
გაყვება	გაყვ ება
აღწერითი	აღწერ ითი
ავითარებდნენ	ავითარ ებდნენ
გულაგის	გულ აგის
ამოვსებულია	ამოვს ებულია
ფერდობების	ფერდობ ების
გასაკვირი	გასაკვირ ი
დისკში	დისკ ში
პარალელურად	პარალე ლურად
კარლაილს	კარლ აილს
ჰენი	ჰენ ი
შეფერილობით	შეფერი ლობით
დაბოლოებული	დაბოლო ებული
რონალდუმ	რონალდ უმ
რაზდანის	რაზ დანის
არქტიკულ	არქტიკ ულ
ები	ები
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრ ობდა
ჰპოვებს	ჰპოვ ებს
ყველამ	ყველა მ
წინააღმდეგობრივი	წინააღმდეგობ რივი
ქარგა	ქარ გა
ხისტი	ხ ისტი
მოქალაქეები	მოქალაქეებ ი
დაემთხვა	და ემთხვა
წარმოშობილი	წარმოშობ ილი
უბნის	უბნ ის
ლეგიონებმა	ლეგიონ ებმა
საორგანიზაციო	სა ორგანიზაცი ო
ტაქსონომიურ	ტაქსონომი ურ
დაიღუპა	დაიღუპ ა
არიანე	არიან ე
მორისი	მორის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომნელ ებელი
კულმინაციას	კულმინ აციას
მოკლეს	მოკლე ს
ჩამოიყვანა	ჩამოიყვან ა
რიგების	რიგ ების
მახსოვს	მახსოვ ს
სახელწოდებად	სახელწოდ ებად
ყურეს	ყურე ს
გაერთიანებაში	გაერთიან ებაში
დაცვითი	დაცვ ითი
კანტატები	კან ტატები
ჯანელიძის	ჯა ნელიძის
ბუნებას	ბუნ ებას
ხეები	ხე ები
ნეოლითის	ნეოლით ის
ხელოსნური	ხელოს ნური
საყვარელიძე	საყვარ ელიძე
ჩაუთვალა	ჩაუ თვალ ა
კლდოვანი	კლდოვანი
ნაგაზი	ნაგაზ ი
შეყვარებულის	შეყვარებულ ის
წყალმარჩხ	წყალმარჩხ
გაქრება	გაქრ ება
ქვემეხები	ქვემეხ ები
გარეთა	გარეთ ა
ხუროთმოძღვრება	ხუროთმო ძღვრება
აცილებული	აცილ ებული
აისახება	აისახ ება
ცდება	ცდ ება
ეფექტურობა	ეფექტურ ობა
გაღარიბებული	გა ღარიბებული
მიწათმფლობელობა	მიწათმფლობელ ობა
მომხიბლავი	მომ ხიბლ ავი
დამფუძნებელია	დამფუძნებელ ია
ესპანურ	ესპან ურ
პრემიერ	პრემიერ
შეზღუდვებს	შეზღუდ ვებს
შოუზე	შოუ ზე
ჭანტურია	ჭანტურ ია
კეჩუას	კეჩუ ას
სოლისტი	სოლის ტი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამ აზრზენი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰოპკინ ზმა
ჩემპიონატს	ჩემპიონა ტს
სიხშირეს	სიხშირ ეს
ფიგაროს	ფიგარ ოს
მეოთხეა	მეოთხე ა
გარანტიას	გარანტი ას
ნახევარუდაბნოს	ნახევარ უდაბნო ს
ლუქსემბურგის	ლუქსემბურგ ის
პერსპექტიულია	პერსპექტ იულია
პოზიტიური	პოზიტ იური
რიტორიკა	რიტორი კა
სამწერლო	სამწერ ლო
აქტიურები	აქტიურ ები
წოდებაც	წოდებ აც
თავდაცვისა	თავდაცვ ისა
ატლანტისი	ატლანტ ისი
პლინიუს	პლინი უს
ჯოზეფი	ჯოზეფ ი
ასვლას	ასვლ ას
დღე	დღე
თამაშებისა	თამაშ ებისა
პრეზიდენტ	პრეზიდენტ
ჰიურემ	ჰიუ რემ
წარმატებისა	წარმატებ ისა
შემოქმედმა	შემოქმედ მა
დაპყრობები	დაპყრო ბები
ყაზახეთში	ყაზახ ეთში
ბენდი	ბენდ ი
ვარიანტი	ვარიანტ ი
კლდეკარის	კლდე კარის
ეკოსისტემის	ეკო სისტემ ის
ფორტეპიანოსა	ფორტეპიანო სა
მთავარანგელოზი	მთავარ ანგელოზი
მოქალაქედ	მოქალაქ ედ
გაშლის	გაშლ ის
ნათელაშვილის	ნათელ აშვილის
მიახლოებით	მიახლო ებით
მუხისფარს	მუხისფარ ს
კომისარიატის	კომისარი ატის
პიტერმა	პიტერ მა
მონიტორები	მონიტორ ები
ინვესტორი	ინვესტ ორი
შეშლა	შეშლ ა
გრადაშჩევიჩის	გრადაშჩე ვიჩის
ეცნობა	ეცნობ ა
ხელფასი	ხელფას ი
საიმპერატორო	სა იმპერატორ ო
კატაკლიზმები	კატაკლი ზმები
ქვედაზე	ქვე დაზე
მხრივაც	მხრივ აც
დუელში	დუელ ში
გარემონტდა	გარემო ნტდა
დაარღვიეს	დაარღვი ეს
აღწერეს	აღწერ ეს
კომიქსებში	კომიქს ებში
ბაიკონურის	ბაი კონურის
კულტივირება	კულტივი რება
ჩათვლა	ჩათვლ ა
ფისი	ფის ი
გადაღებულმა	გადაღებ ულმა
ქსოვილისაგან	ქსოვილ ისაგან
ჩხიკვაძე	ჩხიკვ აძე
ფრანკფურტში	ფრანკფურტ ში
მფარველობას	მფარველ ობას
ჩამოკვეთილი	ჩამო კვეთილი
გადარჩევა	გადარჩევ ა
ქვესკნელის	ქვესკნე ლის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტ ნელი
ფრანცისკანელთა	ფრანცი სკანელთა
რეიტინგული	რეიტინგ ული
ბელა	ბელ ა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდაათ წლიანი
ლიდერმა	ლიდერ მა
სიტყვიერ	სიტყვიერ
შემოიფარგლება	შემოიფარგლ ება
ბულგარეთი	ბულგარ ეთი
მოჰკიდა	მოჰ კიდა
სპარტელთა	სპარტ ელთა
გააფრთხილა	გაა ფრთხილ ა
ობობა	ობ ობა
პანკრეასის	პან კრეასის
მკერდის	მკერდ ის
პლანქტონური	პლან ქტონური
საისტორიო	სა ისტორი ო
დაველაპარაკები	დავე ლაპარაკ ები
მომხდარმა	მომხდარ მა
მონასტრების	მონასტ რების
ამბავში	ამბავ ში
დედინაცვალი	დედ ინაცვალი
ამოშენებულია	ა მოშენ ებულია
სიღრმული	სიღრმ ული
ტემპერატურით	ტემპერატურ ით
მოუღეს	მოუ ღეს
შემოსვლის	შემოს ვლის
რონდელი	რონ დელი
კავკასიელ	კავკასი ელ
ბაკის	ბა კის
ევოლუციაში	ევოლუცი აში
მოხუცი	მოხუც ი
ლუარსაბ	ლუარსაბ
შარაძე	შარ აძე
ფორმაა	ფორმ აა
სათანადოდ	სათანად ოდ
ნიდერლანდში	ნიდერლან დში
ვეზუვის	ვეზ უვის
მწვერვალი	მწვერვა ლი
ეშვება	ეშვ ება
პოლონური	პოლონ ური
გააფთრებული	გა აფთ რებული
გაჩერებას	გაჩერ ებას
დევიზი	დევიზი
ასრულდა	ასრულ და
